seed,cx,cy,cz,phi,k,D,vmag,n_pairs,r2,n_seg
100,0.0021758945788343184,-0.003845530564981746,0.004284034662406324,0.021440780926533058,1.1700395807094516e-13,1.0032445287588093e-09,0.014075463826273445,28,0.9983782116355194,54902
100,0.002805822640441803,0.0028198938203952777,0.0029802504106473176,0.021287400917335934,3.2862394972261646e-12,8.700170736369275e-06,0.0027985928988009346,19,0.990029757019059,54902
100,0.0044173889534892576,0.008971889582938724,-0.0024459724908922984,0.015236644410429488,1.6870380114845816e-13,1.7843976443802277e-05,0.0037737475755575713,11,0.9991380276844853,54902
100,0.00018884473236296267,0.0070169387297750125,-0.005351919465198009,0.0255315770493386,4.950936872473172e-12,3.858118090391185e-09,0.025371385702874494,22,0.9818700044320728,54902
100,0.0013022978755486156,-0.002756470863950774,-7.92872399676879e-05,0.02092345211372599,2.4461304410914567e-12,3.573315832998529e-06,0.0020909651891789023,24,0.989642725950563,54902
100,-0.005621884330375211,-0.0009243820339609095,-0.002755388339838499,0.028980745650649176,2.4274481594622077e-12,4.533085071529808e-07,0.0025499443340644616,31,0.9909139685922261,54902
101,0.0029771781195196472,-0.0012387471994650854,0.001469285491782161,0.02794850179662067,1.2990116055089446e-12,1.0000000060718087e-09,0.005947056419619158,12,0.995845677091489,55936
101,0.006841577165910579,0.004243191360263255,0.0028305560832243017,0.013675451156863642,1.0806002312764091e-13,4.37784287197455e-06,0.0028010968416805255,4,0.9990303316845122,55936
101,0.00275099755402178,-0.0034542698150094395,0.003856066926694247,0.02893875204681658,3.5016790283014522e-12,1.0000000000000042e-09,0.0035863628510869627,12,0.9913277948468778,55936
101,-0.006593851262699481,-0.0013283672510746491,-0.00174917536373645,0.04149882631211898,1.6600087622230778e-11,3.261102388346014e-06,0.00160561633832622,30,0.9890310931776528,55936
101,-0.0069140748233840425,-0.0004413555480058132,0.006573820306537607,0.040991464767611424,4.7196343837950866e-12,1.8538037412284309e-06,0.0014889502701746766,38,0.9859235729898606,55936
101,-0.0013605093505004594,-0.004830413361037347,-0.0003642148740257437,0.0775720075684666,2.7026393060847746e-11,3.3785490633245874e-06,0.0015145534005802093,25,0.9796294395647078,55936
101,0.0034156972660039516,0.000772872462601531,-1.0662865852690184e-05,0.018136651919110534,7.395231071470657e-13,2.867375118434105e-06,0.0017425975788665342,13,0.9911579775795206,55936
101,0.0029771781195196472,-0.0012387471994650854,0.001469285491782161,0.02794850179662067,1.2990116055089446e-12,1.0000000060718087e-09,0.005947056419619158,12,0.995845677091489,55936
101,0.006841577165910579,0.004243191360263255,0.0028305560832243017,0.013675451156863642,1.0806002312764091e-13,4.37784287197455e-06,0.0028010968416805255,4,0.9990303316845122,55936
101,0.00275099755402178,-0.0034542698150094395,0.003856066926694247,0.02893875204681658,3.5016790283014522e-12,1.0000000000000042e-09,0.0035863628510869627,12,0.9913277948468778,55936
101,-0.006593851262699481,-0.0013283672510746491,-0.00174917536373645,0.04149882631211898,1.6600087622230778e-11,3.261102388346014e-06,0.00160561633832622,30,0.9890310931776528,55936
101,-0.0069140748233840425,-0.0004413555480058132,0.006573820306537607,0.040991464767611424,4.7196343837950866e-12,1.8538037412284309e-06,0.0014889502701746766,38,0.9859235729898606,55936
102,0.002502917593028603,0.008657301435810665,0.00382216223478283,0.00712644898339079,1.6138354632401539e-13,1.1724257219356866e-05,0.010011769019934221,23,0.9996162409133378,55898
102,-0.004320929692098591,-0.0023747005095025057,0.0034448762226762753,0.01928553556759662,5.80000047619778e-13,1.0000000000000042e-09,0.0015335281912022337,14,0.9944471221026259,55898
102,0.008451680637532722,0.007539930428832302,-0.00579279736706891,0.007461590047324899,1.9971046717023738e-14,5.7138818914134055e-06,0.005547425325282842,5,0.999779371028781,55898
102,-0.0011838727431441624,-0.002414466388854415,-0.001475975971401605,0.07153305299574789,6.6512593673615865e-12,2.8884715042503308e-06,0.0018932473478314575,37,0.9891407652079081,55898
102,0.003983351312288615,-0.001945416307717082,-0.0035561732456473693,0.049862505973335594,6.370111655502888e-12,1.2907871946390984e-05,0.004224248071531686,15,0.9975269735061117,55898
103,0.004413392116667631,-0.005119136495900453,0.002592609784039174,0.07303254137914501,2.457923778664168e-11,1.0000000000000042e-09,0.003585850977348118,8,0.997872636476851,56100
103,-0.004798321770773714,0.004287202792462333,-0.006224286139643527,0.008835957013581978,5.173891693739221e-14,1.000000002415608e-09,0.010787452965211358,14,0.999460066412665,56100
103,-0.0028421238521366132,-0.0024266434530990405,-0.008421290296272473,0.016105463191495927,2.9362858419098976e-14,5.327768172834435e-06,0.003462501567092894,45,0.9990650124640852,56100
103,0.0034110949291305866,-0.0062055464389733405,-0.0052290448487327095,0.07262091848938934,4.1973175237377955e-11,5.530983814675401e-07,0.0008176383984477254,10,0.9800848492940993,56100
103,-0.0022587854659317317,0.0029769497885250443,-0.0032533888685512156,0.046892019924244306,6.5453399941284604e-12,1.2198693691630565e-06,0.0013009566484486733,5,0.9959792931675633,56100
103,0.007955133024150922,-9.972797833291239e-05,-0.0011562096311789965,0.03799048650142395,1.4237868238007058e-11,3.56293241717446e-07,0.0010228189070636208,41,0.9784167161915002,56100
104,0.002248466618752474,0.0022408020778939834,-0.0024898269014776418,0.038367962204785604,7.0655064344210324e-12,2.8344473460722825e-05,0.00654241143354935,29,0.998213964843317,54270
104,-3.926017785171608e-05,2.15172718749133e-06,0.00022970974117503007,0.057560898652199086,9.059539196907103e-12,1.0000000000000185e-09,0.003977675803421201,4,0.9972190259404714,54270
104,0.00873094125969155,-0.0011353863404549185,-0.001167365907165369,0.043674969795959355,5.723936129452388e-11,1.532093531934292e-06,0.0011143117085271508,18,0.9864269286381994,54270
104,-0.0018323471289609949,0.004144033783205094,-0.0016514208192918627,0.015196490975821477,1.1498851226168522e-13,1.0000000000000042e-09,0.002437229224126107,6,0.9984780275186927,54270
104,-0.00035295442630786726,0.003522269197464211,0.0030456202481019645,0.030562385177922525,3.865401648279507e-12,2.697341228570211e-07,0.000791952290850728,47,0.9849894063267268,54270
104,-0.0038981388738033745,0.007259759272407645,0.001109869064773085,0.011418004959721707,2.36800633095435e-13,4.420592705568375e-06,0.0019585568154038544,5,0.999327973993634,54270
105,-0.00025381683074301645,0.004996852440735798,0.007952044811551526,0.007220985234078676,1.9180916582713958e-14,9.968791980326552e-06,0.004159344922499471,39,0.9987547333801153,56830
105,-0.00021349992448374587,-0.0009566301303388459,0.004248118605614813,0.06879189381379976,5.8097630035004734e-12,1.2532250277326658e-07,0.0005099130788802816,21,0.9672055077616835,56830
