config,windows,level,normalized,richer,quantity,truth,median,lo,hi,width_post,width_prior,contraction,bias_log,covered
E7_E1_swe_push,swe,independent,False,True,mu,2999.9999999999977,2853.0591121630437,2830.3975281443977,2875.902136203851,0.015949240435080798,2.302585092994047,0.006926667111503805,-0.05022049735133738,False
E7_E1_swe_push,swe,independent,False,True,eta_s,1.5,0.9819615814937082,0.9431523108562591,1.0223677940779392,0.08064879587626543,4.605170185988092,0.017512663510601902,-0.42366820221631374,False
E7_E1_swe_push,swe,independent,False,True,phi,0.028000000000000004,0.5334435743895043,0.48412517552658035,0.5877860963291859,0.1940195995614713,2.995732273553991,0.06476533342924395,2.9471487900049684,False
E7_E1_swe_push,swe,independent,False,True,k,3.4999999999999997e-13,6.835399020951257e-10,6.483273558321774e-10,7.206649442649122e-10,0.1057785719706958,6.907755278982138,0.015313016703493054,7.577107158029833,False
E7_E1_swe_push,swe,independent,False,True,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,5.493815094879565,5.493815094879565,1.0,-0.22490046096410943,True
E7_E2_ceus_Acal_twocompartment,ceus,independent,False,True,phi,0.028000000000000004,0.024783181332253344,0.022418885438715033,0.027396815895525384,0.2005230948543155,2.995732273553991,0.06693625349117886,-0.12203925915353642,False
E7_E2_ceus_Acal_twocompartment,ceus,independent,False,True,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,6.907755278982138,6.907755278982138,1.0,-0.10147042199834644,True
E7_E2_ceus_Acal_twocompartment,ceus,independent,False,True,D,1.0000000000000004e-06,1.0683257965676698e-06,1.0345824054536677e-06,1.103169744232673e-06,0.06418974935242198,4.605170185988092,0.01393862696925485,0.06609274698478984,False
E7_E2_ceus_Acal_twocompartment,ceus,independent,False,True,vmag,0.0010488088481701513,0.001021745032945133,0.0010117857036946063,0.0010318023950486228,0.019590377859636174,4.605170185988091,0.004253996501419814,-0.026143107772861107,False
E7_E2_ceus_Acal_twocompartment,ceus,independent,False,True,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,5.493815094879565,5.493815094879565,1.0,-0.22490046096410943,True
E7_E2_ceus_Acal_twocompartment,ceus,independent,False,True,A,1.0,1.000416687991727,0.9096446042800654,1.100246783087821,0.19023580340455618,0.19062035960864981,0.9979826068690503,0.0004166012013944189,True
E7_E2_ceus_Acal_twocompartment,ceus,independent,False,True,t0,4.0,3.9704860189227023,3.9324566463180255,4.008515391527379,0.07605874520935312,13.499999999999998,0.00563398112661875,-0.029513981077297746,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,mu,2999.9999999999977,3009.583552396103,2999.4571094929915,3019.7441831012493,0.006740811426616936,2.302585092994047,0.0029274972061301206,0.0031894258351030658,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,eta_s,1.5,1.4882914478627396,1.4686451873380655,1.5082005190076582,0.0265768963586695,4.605170185988092,0.005771099717342395,-0.007836325377253872,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,phi,0.028000000000000004,0.028019491130516095,0.025396235612886495,0.03091371080266324,0.19659884196362962,2.995732273553991,0.06562630569466553,0.0006958696307042267,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,k,3.4999999999999997e-13,3.618312526852029e-13,2.290768371784484e-13,5.715193951178767e-13,0.9142409390673458,6.907755278982138,0.13234993165566514,0.033244795856010256,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,D,1.0000000000000004e-06,9.948997215708137e-07,9.689874489019437e-07,1.0215049298144705e-06,0.05278058112302562,4.605170185988092,0.01146115756668848,-0.005113329243316755,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,vmag,0.0010488088481701513,0.001047521454917193,0.001039343953617131,0.0010557632963495852,0.015674308697488773,4.605170185988091,0.0034036328874837607,-0.0012282352765735638,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,S_v,2.800000000000001e-05,2.7663686467936107e-05,1.85681957376427e-05,4.1214534778133827e-05,0.797340769436262,3.1035495276192426,0.2569125326792862,-0.012083914875125501,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,C_v,0.0010000000000000002,0.0009873015301768817,0.0006695134749116045,0.0014559293397616976,0.7768484054384739,0.8109302162163292,0.9579719560372585,-0.012779784505829284,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,M,95999.99999999997,103596.21815277662,68924.86467372347,155708.34221237374,0.8149676626376433,6.907755278982138,0.11797865293770647,0.07615263337442002,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,A,1.0,1.0016192210082877,0.9109343300229584,1.1013319301161526,0.18980476279766698,0.19062035960864981,0.9957213551970142,0.0016179114833671157,True
E7_E8_relax_constitutive_Cvcal_spectrum,swe+ceus+relax,constitutive,False,True,t0,4.0,3.9973826124678538,3.9658070828160845,4.028958142119623,0.06315105930353875,13.499999999999998,0.004677856244706575,-0.0026173875321462425,True
E7_E8_relax_constitutive_Cvcal_all,swe+ceus+relax,constitutive,False,True,mu,2999.9999999999977,3179.761108736449,3168.12945865314,3191.4354639192265,0.0073294666805231185,2.302585092994047,0.003183146934644933,0.05819378226324723,False
E7_E8_relax_constitutive_Cvcal_all,swe+ceus+relax,constitutive,False,True,eta_s,1.5,1.6936788602123325,1.6688017872885412,1.7189267793096894,0.029594254294201705,4.605170185988092,0.006426310668006707,0.12143789530497573,False
E7_E8_relax_constitutive_Cvcal_all,swe+ceus+relax,constitutive,False,True,phi,0.028000000000000004,0.02470056728325167,0.022350933782767136,0.027297205121016098,0.19991622025412417,2.995732273553991,0.06673367377284128,-0.12537829987174254,False
