config,windows,level,normalized,richer,quantity,truth,median,lo,hi,width_post,width_prior,contraction,bias_log,covered
E1_swe,swe,independent,False,False,mu,2999.9999999999977,3009.5959811739763,2999.464369839594,3019.761815134659,0.0067442297751941875,2.302585092994047,0.0029289817760544427,0.003193555560027761,True
E1_swe,swe,independent,False,False,eta_s,1.5,1.4883310732724593,1.468657034764647,1.5082686639793519,0.02661401142711176,4.605170185988092,0.005779159152052363,-0.007809700966909083,True
E1_swe,swe,independent,False,False,phi,0.028000000000000004,0.022369548319084696,0.005001983249013664,0.10003965768948503,2.995732200675014,2.995732273553991,0.9999999756723997,-0.2245039262456019,True
E1_swe,swe,independent,False,False,k,3.4999999999999997e-13,3.1910008288056284e-13,1.0117210389443007e-14,1.0064519662518188e-11,6.902533640747056,6.907755278982138,0.9992440904426697,-0.09242836146703937,True
E1_swe,swe,independent,False,False,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,5.493815094879565,5.493815094879565,1.0,-0.22490046096410943,True
E2_ceus,ceus,independent,False,False,phi,0.028000000000000004,0.023980956654339646,0.0068322594050231845,0.08417219662861518,2.51120923552241,2.995732273553991,0.838262236479241,-0.1549444675292202,True
E2_ceus,ceus,independent,False,False,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,6.907755278982138,6.907755278982138,1.0,-0.10147042199834644,True
E2_ceus,ceus,independent,False,False,D,1.0000000000000004e-06,1.0108229538186174e-06,9.843704393181063e-07,1.037986314048999e-06,0.05303558978542266,4.605170185988092,0.011516531994146763,0.010764804840169617,True
E2_ceus,ceus,independent,False,False,vmag,0.0010488088481701513,0.0010542827452611077,0.0010460064147846055,0.001062624560657385,0.015762350199816977,4.605170185988091,0.0034227508568035665,0.005205583502939426,True
E2_ceus,ceus,independent,False,False,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,5.493815094879565,5.493815094879565,1.0,-0.22490046096410943,True
E2_ceus,ceus,independent,False,False,A,1.0,1.179766331694713,0.33608301638608623,4.141383317630868,2.5114269436788024,4.605170185988092,0.5453494316714262,0.16531639488070327,True
E2_ceus,ceus,independent,False,False,t0,4.0,4.012548783590557,3.9811514720293957,4.043946095151718,0.06279462312232181,13.499999999999998,0.004651453564616432,0.012548783590556667,True
E2n_ceus_norm,ceus,independent,True,False,phi,0.028000000000000004,0.022360678831371484,0.0049999997889987186,0.0999999957799744,2.995732273553991,2.995732273553991,1.0,-0.22490050316436516,True
E2n_ceus_norm,ceus,independent,True,False,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,6.907755278982138,6.907755278982138,1.0,-0.10147042199834644,True
E2n_ceus_norm,ceus,independent,True,False,D,1.0000000000000004e-06,9.923363002658303e-07,9.601870202720042e-07,1.025562012436201e-06,0.06586796785247892,4.605170185988092,0.014303047486256187,-0.007693216784224077,True
E2n_ceus_norm,ceus,independent,True,False,vmag,0.0010488088481701513,0.0010518101305335742,0.0010446982514281764,0.0010589704244078689,0.013569049275293938,4.605170185988091,0.002946481612466738,0.0028575238404329184,True
E2n_ceus_norm,ceus,independent,True,False,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,5.493815094879565,5.493815094879565,1.0,-0.22490046096410943,True
E2n_ceus_norm,ceus,independent,True,False,A,1.0,1.0000019524716395,0.10000019524716393,10.000019524716397,4.605170185988092,4.605170185988092,1.0,1.952469733385373e-06,True
E2n_ceus_norm,ceus,independent,True,False,t0,4.0,3.991886259402108,3.95393214455667,4.029840374247545,0.0759082296908749,13.499999999999998,0.005622831828953697,-0.00811374059789216,True
E2_ceus_Acal,ceus,independent,False,False,phi,0.028000000000000004,0.028263677373524854,0.02561041207868061,0.03119182370906447,0.19715700924457055,2.995732273553991,0.06581262651040344,0.009372985067158446,True
E2_ceus_Acal,ceus,independent,False,False,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,6.907755278982138,6.907755278982138,1.0,-0.10147042199834644,True
E2_ceus_Acal,ceus,independent,False,False,D,1.0000000000000004e-06,1.0107732445560564e-06,9.84324530718263e-07,1.037932633015728e-06,0.05303051054594917,4.605170185988092,0.011515429051308963,0.010715626609016482,True
E2_ceus_Acal,ceus,independent,False,False,vmag,0.0010488088481701513,0.001054280493157189,0.001046004263171712,0.0010626222066069156,0.01576219186095371,4.605170185988091,0.003422716473956272,0.00520344735271383,True
E2_ceus_Acal,ceus,independent,False,False,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,5.493815094879565,5.493815094879565,1.0,-0.22490046096410943,True
E2_ceus_Acal,ceus,independent,False,False,A,1.0,1.0009490004368053,0.9101286439876369,1.1008321824546923,0.19023574572762872,0.19062035960864981,0.9979823042941964,0.00094855042057879,True
E2_ceus_Acal,ceus,independent,False,False,t0,4.0,4.012498562063261,3.9811027212706076,4.043894402855914,0.06279168158530657,13.499999999999998,0.004651235672985672,0.01249856206326072,True
E3_joint_independent,swe+ceus,independent,False,False,mu,2999.9999999999977,3009.5961480407673,2999.464581535953,3019.761936866616,0.006744199508913851,2.302585092994047,0.002928968631575905,0.003193611004940422,True
E3_joint_independent,swe+ceus,independent,False,False,eta_s,1.5,1.4883312691930566,1.468657369405015,1.508268717403578,0.026613818993359573,4.605170185988092,0.0057791173655940085,-0.00780956932913851,True
E3_joint_independent,swe+ceus,independent,False,False,phi,0.028000000000000004,0.028040621503183778,0.0254092927067653,0.030944444749359912,0.19707853017168517,2.995732273553991,0.06578642955229133,0.0014497166237141812,True
E3_joint_independent,swe+ceus,independent,False,False,k,3.4999999999999997e-13,3.193699771664253e-13,1.0125837703713399e-14,1.0072962385904897e-11,6.9025197760461126,6.907755278982138,0.9992420833216321,-0.09158292072102014,True
E3_joint_independent,swe+ceus,independent,False,False,D,1.0000000000000004e-06,9.949490517373512e-07,9.690316205022847e-07,1.0215596628724464e-06,0.05278857621577673,4.605170185988092,0.011462893679020538,-0.005063747418597941,True
E3_joint_independent,swe+ceus,independent,False,False,vmag,0.0010488088481701513,0.0010475233185690467,0.0010393457110518417,0.0010557652677812184,0.015674485094035278,4.605170185988091,0.003403671191507148,-0.0012264561720147782,True
E3_joint_independent,swe+ceus,independent,False,False,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,5.493815094879565,5.493815094879565,1.0,-0.22490046096410943,True
E3_joint_independent,swe+ceus,independent,False,False,A,1.0,1.0009155792556335,0.9100982558642934,1.1007954254842844,0.19023574438264446,0.19062035960864981,0.9979822972383695,0.0009151603686100515,True
E3_joint_independent,swe+ceus,independent,False,False,t0,4.0,3.9974326678178316,3.965854368494822,4.029010967140842,0.06315659864601941,13.499999999999998,0.004678266566371809,-0.0025673321821684247,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,mu,2999.9999999999977,3009.5961418124716,2999.4645753584887,3019.7619305872163,0.006744199489003125,2.302585092994047,0.0029289686229287864,0.0031936089354616115,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,eta_s,1.5,1.4883312890491311,1.4686573933545504,1.5082687330522233,0.026613813061501405,4.605170185988092,0.005779116077507374,-0.007809555987972616,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,phi,0.028000000000000004,0.028040620140097672,0.025409291472041462,0.03094444324456715,0.19707853013623214,2.995732273553991,0.06578642954045681,0.0014496680125897221,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,k,3.4999999999999997e-13,3.193729692975647e-13,1.0125933119138771e-14,1.0073056212978267e-11,6.902519667825768,6.907755278982138,0.9992420676551326,-0.09157355190949446,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,D,1.0000000000000004e-06,9.949490417456407e-07,9.690316107856278e-07,1.02155965259792e-06,0.05278857618527258,4.605170185988092,0.011462893672396645,-0.005063757461032381,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,vmag,0.0010488088481701513,0.0010475233170284058,0.0010393457095375805,0.0010557652662138762,0.015674485066415642,4.605170185988091,0.0034036711855096194,-0.0012264576427609697,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,S_v,2.800000000000001e-05,2.8040620140097652e-05,2.798158585668629e-06,0.000280997789713683,4.609385250654825,5.493815094879564,0.8390135399625919,0.0014496680125883898,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,C_v,0.0010000000000000002,0.0010000000000000002,0.00010000000000000009,0.009999999999999995,4.605170185988091,4.605170185988091,1.0,0.0,True
E4_joint_constitutive,swe+ceus,constitutive,False,False,A,1.0,1.000915618708825,0.9100982917377243,1.1007954688744563,0.19023574438265556,0.19062035960864981,0.9979822972384279,0.0009151997857114735,True
